ID,Internal ID,Name,Description,Completed,Category,Category ID
1,1.1,Research local planning regulations and restrictions,,FALSE,Initial Planning & Design,1
2,1.2,"Determine the purpose of the extension (e.g., new kitchen, extra bedroom, home office)",,FALSE,Initial Planning & Design,1
3,1.3,Set a preliminary budget,,FALSE,Initial Planning & Design,1
4,1.4,"Explore financing options (e.g., savings, home improvement loan, remortgage)",,FALSE,Initial Planning & Design,1
5,1.5,Create a timeline for the project,,FALSE,Initial Planning & Design,1
6,1.6,Consider the impact on home insurance,,FALSE,Initial Planning & Design,1
7,2.1,"Collect design inspiration (e.g., Pinterest boards, architectural magazines)",,FALSE,Initial Planning & Design,1
8,2.2,Define key features and must-haves,,FALSE,Initial Planning & Design,1
9,2.3,Consider energy efficiency and sustainability options,,FALSE,Initial Planning & Design,1
10,2.4,"Decide on a design style (modern, traditional, eco-friendly)",,FALSE,Initial Planning & Design,1
11,3.1,Research and select an architect or designer,,FALSE,Professionals & Permission,2
12,3.2,Hire a structural engineer (if structural changes are anticipated),,FALSE,Professionals & Permission,2
13,3.3,Consult with a planning advisor (especially if in a conservation area),,FALSE,Professionals & Permission,2
14,3.4,Choose a quantity surveyor for budget management,,FALSE,Professionals & Permission,2
15,3.5,Select a project manager (if not self-managing),,FALSE,Professionals & Permission,2
16,4.1,Determine if planning permission is required,,FALSE,Professionals & Permission,2
17,4.2,Submit a planning permission application (if necessary),,FALSE,Professionals & Permission,2
18,4.3,Understand and comply with the Party Wall Act (if applicable),,FALSE,Professionals & Permission,2
19,4.4,Secure building regulation approval,,FALSE,Professionals & Permission,2
20,4.5,Check for any covenants on your property deed that may affect the project,,FALSE,Professionals & Permission,2
21,5.1,Develop detailed plans with your architect,,FALSE,Budgeting & Management,3
22,5.2,Create a detailed project budget,,FALSE,Budgeting & Management,3
23,5.3,Plan for contingency funds (10-20% of the total budget),,FALSE,Budgeting & Management,3
24,5.4,Obtain detailed quotes from contractors,,FALSE,Budgeting & Management,3
25,5.5,Finalize financing arrangements,,FALSE,Budgeting & Management,3
26,6.1,Research and select a main contractor or builder,,FALSE,Budgeting & Management,3
27,6.2,Check contractor references and previous work,,FALSE,Budgeting & Management,3
28,6.3,Obtain and compare bids from contractors,,FALSE,Budgeting & Management,3
29,6.4,Establish a clear contract with the chosen contractor,,FALSE,Budgeting & Management,3
30,6.5,"Plan for site access and setup (e.g., scaffolding, waste disposal)",,FALSE,Budgeting & Management,3
31,7.1,Conduct a pre-construction meeting with all key stakeholders,,FALSE,Construction & Finishings,4
32,7.2,Ensure proper permits are displayed on-site,,FALSE,Construction & Finishings,4
33,7.3,Monitor construction progress and quality,,FALSE,Construction & Finishings,4
34,7.4,Manage changes and adjustments to the plan,,FALSE,Construction & Finishings,4
35,7.5,Schedule regular meetings with the contractor for updates,,FALSE,Construction & Finishings,4
36,7.6,Keep a detailed record of all construction activities and expenses,,FALSE,Construction & Finishings,4
37,8.1,"Select interior finishes (flooring, tiles, paint colors)",,FALSE,Construction & Finishings,4
38,8.2,"Choose fixtures and fittings (lighting, faucets, appliances)",,FALSE,Construction & Finishings,4
39,8.3,Plan for any custom joinery or cabinetry,,FALSE,Construction & Finishings,4
40,8.4,Decide on window and door styles,,FALSE,Construction & Finishings,4
41,8.5,Finalize the electrical and plumbing plans,,FALSE,Construction & Finishings,4
42,9.1,Design the garden and outdoor spaces,,FALSE,External Work,5
43,9.2,Plan for external lighting and electrical needs,,FALSE,External Work,5
44,9.3,"Consider decking, patios, or pathways",,FALSE,External Work,5
45,9.4,Choose external paint colors and finishes,,FALSE,External Work,5
46,10.1,Arrange for the final inspection by Building Control,,FALSE,Completion & Maintenance,6
47,10.2,Compile all warranties and manuals for new appliances and systems,,FALSE,Completion & Maintenance,6
48,10.3,Conduct a snagging list with the contractor,,FALSE,Completion & Maintenance,6
49,10.4,Update your home insurance to reflect the changes,,FALSE,Completion & Maintenance,6
50,10.5,Plan a housewarming or reveal party,,FALSE,Completion & Maintenance,6
51,11.1,"Schedule regular maintenance for new installations (e.g., boiler service)",,FALSE,Completion & Maintenance,6
52,11.2,Plan seasonal checks and upkeep for the extension and garden areas,,FALSE,Completion & Maintenance,6
53,11.3,Create a long-term savings plan for future renovations or repairs,,FALSE,Completion & Maintenance,6
54,11.4,Research local planning regulations and restrictions,,FALSE,Completion & Maintenance,6
